School ID,School Short Name,School Name,Street Address,City,State,ZIP,Phone Number,Website,Managed By Network,Geographic Network,School Track,Overall Rating,On Probation,Years on Probation,NWEA or Scantron,Growth Overall Level,Growth Overall Reading and Math,Reading Growth Grade 3,Reading Growth Grade 4,Reading Growth Grade 5,Reading Growth Grade 6,Reading Growth Grade 7,Reading Growth Grade 8,Reading Growth All Grades,Math Growth Grade 3,Math Growth Grade 4,Math Growth Grade 5,Math Growth Grade 6,Math Growth Grade 7,Math Growth Grade 8,Math Growth All Grades,Student Performance Level,Student Performance Reading and Math,Reading Performance Grade 3,Reading Performance Grade 4,Reading Performance Grade 5,Reading Performance Grade 6,Reading Performance Grade 7,Reading Performance Grade 8,Reading Performance All Grades,Math Performance Grade 3,Math Performance Grade 4,Math Performance Grade 5,Math Performance Grade 6,Math Performance Grade 7,Math Performance Grade 8,Math Performance All Grades,Reading Growth African American,Reading Growth Hispanic,Reading Growth White,Reading Growth Students with Disabilities,Reading Growth English Language Learners,Reading Growth Free and Reduced Lunch,Math Growth African American,Math Growth Hispanic,Math Growth White,Math Growth Students with Disabilities,Math Growth English Language Learners,Math Growth Free and Reduced  Lunch,Overall Foundation,Involved Families,Supportive Environment,Ambitious Instruction,Effective Leaders,Collaborative Teachers,Safety,Misconducts Resulting in Suspensions 2011 - Percent,Misconducts Resulting in Suspensions 2012 - Percent,Average Days of Suspension 2011,Average Days of Suspension 2012,Student Attendance 2011 - Percent,Student Attendance 2012 - Percent,Teacher Attendance 2011 - Percent,Teacher Attendance 2012 - Percent,Healthy School Certified,Blue Ribbon Award,Blue Ribbon Award Year,X Coordinate,Y Coordinate,Latitude,Longitude,Location
609956,Grimes,Robert L Grimes Elementary School,5450 W 64th Pl,Chicago,IL,60638,(773) 535-2364,http://www.grimes.cps.k12.il.us,Midway Elementary Network,Midway Elementary Network,Standard,Level 1,No,0,NWEA,Above Average,65.2%,58.7%,65.9%,65.3%,61.4%,65.9%,67.3%,64.1%,78.3%,75.6%,53.1%,65.9%,41.5%,79.6%,66.3%,Average,45.6%,42.9%,38.3%,44.9%,42.2%,42.2%,69.2%,47%,51%,48.9%,36.7%,37.8%,34.1%,53.7%,44.1%,,62.6%,64.7%,61.3%,,63.8%,,65.9%,70.6%,53.1%,,66.7%,Well-organized,Strong,Strong,Strong,Strong,Strong,Strong,62.5%,65.9%,1.7,2.8,95.2%,93.9%,95.6%,95.5%,No,No,,1140971.9102997785,1861303.6700998985,-87.75876919,41.77549238,"(-87.75876919, 41.77549238)"
609958,Gunsaulus,Frank W Gunsaulus Elementary Scholastic Academy,4420 S Sacramento Ave,Chicago,IL,60632,(773) 535-7215,http://www.gunsaulus.cps.k12.il.us,Pershing Elementary Network,Pershing Elementary Network,Standard,Level 2,No,0,NWEA,Above Average,56.3%,58.8%,38.8%,54.3%,52.9%,47.9%,56.8%,51.9%,56.5%,56.5%,63.7%,57.4%,50.8%,75.9%,61%,Below Average,39.7%,36.2%,37.3%,37.6%,33.8%,54.8%,54.2%,42.6%,38.6%,31.9%,41.3%,24.1%,29.5%,46.9%,36.5%,41.3%,52.6%,,,59.3%,52.8%,68.3%,59.7%,,,67.9%,60.2%,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,5.2%,7.8%,1.6,2,96.6%,95.8%,96%,95.8%,No,No,,1157065.0259186786,1875083.2699521836,-87.69940042,41.81299531,"(-87.69940042, 41.81299531)"
609959,Haines,John Charles Haines Elementary School,247 W 23rd Pl,Chicago,IL,60616,(773) 534-9200,http://www.haines.cps.k12.il.us,Pershing Elementary Network,Pershing Elementary Network,Standard,Level 1,No,0,NWEA,Above Average,68.2%,71.7%,64%,80.8%,56.3%,50.7%,46.3%,61.1%,73.9%,80%,74%,81.3%,65.3%,80.3%,75.4%,Above Average,68.3%,63.8%,56.6%,74.7%,58.8%,61.8%,60.3%,63%,85.1%,67.9%,70.7%,75%,71.1%,74.6%,73.6%,65.7%,,,38.1%,67.5%,61%,65.7%,,,59.5%,77.5%,75.2%,Moderately Organized,Neutral,Neutral,Neutral,Neutral,Neutral,Weak,,,,,98.4%,98.3%,96.2%,96.1%,Yes,No,,1174842.5294009547,1888681.327547341,-87.63378596,41.84993116,"(-87.63378596, 41.84993116)"
609960,Hale,Nathan Hale Elementary School,6140 S Melvina,Chicago,IL,60638,(773) 535-2265,,Midway Elementary Network,Midway Elementary Network,Standard,Level 2,No,0,NWEA,Above Average,59.4%,68.3%,58.2%,50%,58.4%,62.4%,57%,59.1%,77%,61.3%,36.5%,63.5%,66.7%,52.4%,59.8%,Average,46.9%,49.4%,53.1%,46.7%,58.2%,55.8%,67.1%,54.8%,45.1%,40.2%,21.1%,43.2%,43.2%,42.4%,39.2%,,57.2%,62.2%,74.6%,,59.9%,,58.2%,64.3%,59%,,58.9%,Well-organized,Strong,Neutral,Neutral,Strong,Strong,Strong,54%,32.3%,1.5,2.8,94.5%,94.1%,96.2%,96.5%,No,No,,1136092.7924955583,1862988.8410285274,-87.77661589,41.78020486,"(-87.77661589, 41.78020486)"
609961,Heroes,Ninos Heroes Elementary Academic Center,8344 S Commercial Ave,Chicago,IL,60617,(773) 535-6694,http://www.heroes.cps.k12.il.us,Skyway Elementary Network,Skyway Elementary Network,Track E,Level 2,No,0,Scantron,Average,48.7%,52.1%,33.3%,53.3%,54.2%,49.1%,62.5%,50.2%,45.8%,40.4%,35.6%,60%,43.4%,58.3%,47.2%,Below Average,36.6%,33.3%,27%,19.1%,26%,37%,35.4%,29.7%,31.4%,36.5%,29.8%,54%,55.6%,54.2%,43.5%,48.7%,54.2%,,,,49.8%,46.4%,51.7%,,,,47.1%,Partially Organized,Weak,Neutral,Strong,Weak,Neutral,Weak,16.9%,58.2%,2.8,3.7,93.9%,94.1%,95%,95.4%,No,No,,1197504.8470097366,1850181.747969825,-87.55189813,41.74374969,"(-87.55189813, 41.74374969)"
609963,Hamilton,Alexander Hamilton Elementary School,1650 W Cornelia Ave,Chicago,IL,60657,(773) 534-5484,http://www.hamiltoncps.org,Ravenswood-Ridge Elementary Network,Ravenswood-Ridge Elementary Network,Standard,Level 1,No,0,Scantron,Above Average,63%,65.4%,66.7%,58.3%,44.4%,,73.3%,61.5%,46.2%,88.9%,50%,88.9%,,66.7%,64.6%,Above Average,57.2%,50%,61.1%,58.3%,50%,,62.5%,54.6%,53.8%,72.2%,83.3%,61.1%,,43.8%,59.8%,,58.8%,,,,58.2%,,79.4%,,,,67.2%,Well-organized,Very Strong,Very Strong,Very Strong,Strong,Neutral,Very Strong,41.9%,56%,1,1.1,95.3%,95.1%,97.4%,96.7%,Pending,No,,1164474.2738056148,1923334.4141386575,-87.67085683,41.94524725,"(-87.67085683, 41.94524725)"
609964,Hamline,John H Hamline Elementary School,4747 S Bishop St,Chicago,IL,60609,(773) 535-4565,http://www.hamline.cps.k12.il.us,Pershing Elementary Network,Pershing Elementary Network,Standard,Level 3,Yes,1,NWEA,Above Average,68.3%,59%,67.5%,63.8%,52.9%,81.4%,58.5%,63.1%,69.8%,47.5%,68%,67.3%,91.3%,92.5%,73.3%,Below Average,38.6%,25.4%,40.5%,20.8%,28.3%,39.5%,41%,31.9%,26.5%,40.5%,35.8%,30.5%,72.9%,71.2%,45.3%,,65.1%,,63.3%,62%,62.9%,,73.7%,,64.7%,68.8%,73.2%,Not Yet Organized,Very Weak,Weak,Weak,Very Weak,Very Weak,Weak,87.3%,87.9%,1.9,2.4,94.4%,93.2%,95.7%,96%,No,No,,1167511.8973703634,1873073.8829414179,-87.66113856,41.80726347,"(-87.66113856, 41.80726347)"
609966,Hammond,Charles G Hammond Elementary School,2819 W 21st Pl,Chicago,IL,60623,(773) 535-4580,http://www.hammond.cps.k12.il.us,Pilsen-Little Village Elementary Network,Pilsen-Little Village Elementary Network,Track E,Level 3,Yes,1,Scantron,Below Average,35.8%,41.7%,32.4%,25%,45.5%,33.3%,54.2%,38.6%,8.7%,37.5%,20%,43.8%,35.7%,45.8%,32.9%,Far Below Average,29.5%,33.3%,16.7%,3.7%,22.9%,40.6%,44%,26.4%,14.8%,25.7%,3.7%,48.6%,40.6%,60%,32.6%,,39.9%,,,,38.6%,,33.6%,,,,32.9%,Moderately Organized,Neutral,Neutral,Neutral,Neutral,Neutral,Weak,55%,38.5%,1.6,3,95.3%,93.3%,95.2%,96.3%,Yes,No,,1157809.0150260273,1889554.6229180105,-87.69627777,41.85269133,"(-87.69627777, 41.85269133)"
609967,Finkl,William F Finkl Elementary School,2332 S Western Ave,Chicago,IL,60608,(773) 535-5850,http://www.finkl.cps.k12.il.us,Pilsen-Little Village Elementary Network,Pilsen-Little Village Elementary Network,Track E,Level 2,No,0,Scantron,Above Average,56%,48%,57.5%,40.4%,49.1%,69%,58.1%,53.9%,57.7%,70%,43.1%,71.9%,50.9%,56.9%,58.1%,Below Average,44.1%,38.3%,40.5%,21.2%,41%,52.5%,42.2%,39.7%,36.7%,52.4%,25%,62.3%,61.3%,50.8%,48.5%,,54%,,30.6%,57.8%,53.9%,,57.4%,,42.4%,54%,58.1%,Not Yet Organized,Weak,Not Enough Data,Not Enough Data,Weak,Weak,Not Enough Data,52.6%,47.8%,3,3.1,95.2%,94.4%,96.9%,97.2%,No,No,,1160699.3058737272,1888303.5215087265,-87.68570412,41.84919885,"(-87.68570412, 41.84919885)"
609968,Mcauliffe,Sharon Christa McAuliffe Elementary School,1841 N Springfield Ave,Chicago,IL,60647,(773) 534-4400,http://www.mcauliffe.cps.k12.il.us,Fullerton Elementary Network,Fullerton Elementary Network,Standard,Level 3,Yes,2,Scantron,Below Average,39.6%,30.9%,39.5%,38.2%,39%,,,36.6%,36.6%,51.3%,44.2%,40.5%,,,42.5%,Below Average,30.9%,21.9%,21.7%,28.4%,36.9%,,,27%,26.5%,41.5%,32.3%,42.4%,,,34.7%,,37.4%,,,34.3%,36.5%,,43.1%,,,37.7%,42.4%,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,38.8%,44.4%,1.9,2.8,93.9%,92.8%,95.7%,95.4%,Yes,No,,1150124.4673381345,1912135.0015019008,-87.72389409,41.91480732,"(-87.72389409, 41.91480732)"
609969,Harte,Bret Harte Elementary School,1556 E 56th St,Chicago,IL,60637,(773) 535-0870,http://www.harte.cps.k12.il.us,Burnham Park Elementary Network,Burnham Park Elementary Network,Standard,Level 2,No,0,NWEA,Above Average,58.4%,56.8%,58.1%,59.6%,69.7%,,,60.6%,74.4%,35.7%,56.3%,60.6%,,,56.2%,Average,46.3%,35.9%,59.6%,53.1%,70.6%,,,54.4%,38.1%,34%,36.7%,47.1%,,,38.4%,62.6%,,,,,62.6%,55.7%,,,,,58.2%,Not Yet Organized,Weak,Neutral,Neutral,Weak,Very Weak,Neutral,60%,37.3%,1.8,1.9,94.2%,94%,95.4%,95%,No,No,,1187805.484363544,1868216.4244277119,-87.58686328,41.7934746,"(-87.58686328, 41.7934746)"
609971,Harvard,John Harvard Elementary School of Excellence,7525 S Harvard,Chicago,IL,60620,(773) 535-3045,http://www.harvardschoolofexcellence.org,AUSL Schools,Skyway Elementary Network,Track E,Level 3,Yes,11,NWEA,Average,51.4%,62.2%,35.7%,55.6%,52.5%,52.3%,51.4%,51.7%,58.7%,31.7%,59.5%,72.5%,40.5%,42.4%,51%,Far Below Average,25.2%,15.4%,22.2%,34.1%,28.3%,14.9%,47.6%,26.4%,16%,11.1%,22.2%,32.6%,34%,28.6%,24%,51.7%,,,60%,,51.7%,51.1%,,,60%,,51.1%,Not Yet Organized,Very Weak,Neutral,Neutral,Weak,Weak,Neutral,55.7%,77.1%,6.2,3.4,93%,91.6%,96%,95.5%,No,No,,1175413.4271911627,1854942.116612786,-87.63270008,41.75733472,"(-87.63270008, 41.75733472)"
609972,Haugan,Helge A Haugan Elementary School,4540 N Hamlin Ave,Chicago,IL,60625,(773) 534-5040,http://www.haugan.cps.k12.il.us,O'Hare Elementary Network,O'Hare Elementary Network,Standard,Level 2,No,0,Scantron,Above Average,64.8%,59.6%,67.2%,66.4%,50%,,,62.3%,65.3%,73.5%,82.8%,36.1%,,,67.5%,Below Average,41.7%,32.2%,33.6%,37.2%,32%,,,34%,37.6%,52.4%,66.9%,41.3%,,,49.8%,,63%,,46.9%,56.1%,62.4%,,66.9%,,74.5%,67.5%,67.8%,Partially Organized,Weak,Neutral,Neutral,Neutral,Weak,Neutral,15.8%,21.3%,1.5,1.4,96.2%,93.8%,94.6%,94.7%,No,No,,1150195.2362863608,1930075.175889548,-87.72316496,41.96403525,"(-87.72316496, 41.96403525)"
609973,Zapata,Emiliano Zapata Elementary Academy,2728 S Kostner Ave,Chicago,IL,60623,(773) 534-1390,http://www.zapata.cps.k12.il.us,Pilsen-Little Village Elementary Network,Pilsen-Little Village Elementary Network,Track E,Level 2,No,0,NWEA,Above Average,61.3%,45.3%,55.2%,76.3%,68.1%,62%,51.2%,58.8%,63.2%,57.5%,73.5%,63.8%,59.2%,65.5%,63.8%,Below Average,43.7%,28.4%,38.2%,45.5%,34.2%,51.4%,47.7%,40.6%,49.5%,55.1%,48.9%,35.6%,40.3%,48.8%,46.9%,,58.9%,,59.4%,55.2%,58.7%,,63.9%,,74.3%,59.1%,63.5%,Well-organized,Strong,Not Enough Data,Not Enough Data,Strong,Strong,Not Enough Data,70.4%,81.3%,3.3,1.7,96.6%,95.2%,96.8%,96.1%,No,No,,1147465.3250679064,1885362.4682759535,-87.73434997,41.84139181,"(-87.73434997, 41.84139181)"
609986,Henderson,Charles R Henderson Elementary School,5650 S Wolcott Ave,Chicago,IL,60636,(773) 535-9080,,Englewood-Gresham Elementary Network,Englewood-Gresham Elementary Network,Track E,Level 3,Yes,6,Scantron,Average,50.6%,40%,30%,,36.4%,55.6%,63.6%,44.3%,50%,,,54.5%,52.6%,57.1%,54.9%,Far Below Average,18.4%,14%,15.8%,13.6%,6.3%,22.6%,28.2%,16.7%,20.5%,15.8%,17.8%,15.6%,22.6%,28.2%,20.1%,44.3%,,,,,44.1%,54.5%,,,,,55.6%,Moderately Organized,Not Enough Data,Neutral,Neutral,Not Enough Data,Not Enough Data,Very Weak,87.3%,80.9%,2.1,1.6,89.2%,90.2%,93.6%,94.3%,No,No,,1164617.9178324745,1866985.2580220294,-87.67192466,41.79061716,"(-87.67192466, 41.79061716)"
609974,Hawthorne,Hawthorne Elementary Scholastic Academy,3319 N Clifton Ave,Chicago,IL,60657,(773) 534-5550,http://www.hawthorneacad.org,Ravenswood-Ridge Elementary Network,Ravenswood-Ridge Elementary Network,Standard,Level 1,No,0,Scantron,Above Average,61.8%,46.9%,54.1%,71.4%,61.7%,55.2%,66.7%,59.3%,67.2%,50%,68.3%,71.7%,76.4%,52.7%,64.4%,Far Above Average,85.4%,81.5%,77.4%,84.1%,85%,88.1%,83.6%,83.2%,83.9%,88.3%,93.7%,86.7%,89.3%,83.9%,87.7%,46.3%,50.5%,65.1%,42.6%,,46%,56.9%,60%,68.7%,31.3%,,55.2%,Well-organized,Very Strong,Neutral,Neutral,Very Strong,Strong,Very Strong,50%,,7,,96.9%,97.1%,96.5%,95.9%,Yes,No,,1168069.5262497237,1922284.7586412067,-87.65767253,41.94228994,"(-87.65767253, 41.94228994)"
609975,Hay,John Hay Elementary Community Academy,1018 N Laramie Ave,Chicago,IL,60651,(773) 534-6000,,Austin-North Lawndale Elementary Network,Austin-North Lawndale Elementary Network,Track E,Level 3,Yes,6,Scantron,Average,54.8%,47.5%,40%,51.6%,60.4%,50%,63.2%,51.8%,45.9%,72.7%,71.9%,68%,38.1%,44.4%,57.9%,Below Average,39.3%,29.7%,20.8%,25.8%,45.6%,37.5%,50%,34%,27%,51.1%,63.6%,48.1%,30.4%,47.2%,44.9%,51.4%,,,24.4%,,51.7%,58.2%,,,40%,,57.8%,Moderately Organized,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,69.4%,72.3%,1.7,1.7,92.9%,91.5%,97.1%,96%,No,No,,1141465.0482974022,1906381.9465243672,-87.75585034,41.89918473,"(-87.75585034, 41.89918473)"
609976,Hayt,Stephen K Hayt Elementary School,1518 W Granville Ave,Chicago,IL,60660,(773) 534-2040,http://www.hayt.cps.k12.il.us,Ravenswood-Ridge Elementary Network,Ravenswood-Ridge Elementary Network,Standard,Level 2,No,0,Scantron,Above Average,55.5%,57.1%,39.7%,47.4%,57.1%,53.7%,54.7%,52%,78.6%,58.5%,51.1%,54.2%,47.3%,63.4%,59.1%,Above Average,56.9%,53.5%,46.2%,45.4%,43.1%,59.4%,53.8%,50.7%,58.6%,63.6%,67.7%,54.7%,61.1%,73.3%,63%,42.4%,56.1%,54.3%,39.6%,44.6%,53%,57.1%,55.1%,56.8%,50%,63.9%,59.1%,Moderately Organized,Neutral,Neutral,Neutral,Neutral,Neutral,Strong,7.7%,11.2%,2.3,2.4,95.6%,94.3%,96%,96.7%,No,No,,1164969.8020377224,1941312.085401045,-87.6685227,41.99456814,"(-87.6685227, 41.99456814)"
609977,Woodlawn,Woodlawn Community Elementary School,6657 S Kimbark Ave,Chicago,IL,60637,(773) 535-0801,http://www.woodlawn.cps.k12.il.us,Burnham Park Elementary Network,Burnham Park Elementary Network,Standard,Level 2,No,0,Scantron,Above Average,64.5%,84.6%,56.7%,53.8%,75.9%,,,66.1%,69.2%,36.7%,56.4%,93.1%,,,62.9%,Average,52%,59.3%,48.4%,46.3%,55.2%,,,51.6%,51.9%,32.3%,48.8%,79.3%,,,52.3%,66.1%,,,,,66.1%,62.9%,,,,,62.7%,Partially Organized,Neutral,Not Enough Data,Not Enough Data,Very Weak,Weak,Not Enough Data,61.7%,88.5%,1.6,1.6,93.9%,94.5%,94.3%,92.7%,No,No,,1185825.1883784106,1860883.579161855,-87.59435584,41.77339962,"(-87.59435584, 41.77339962)"
609978,Smith,Wendell Smith Elementary School,744 E 103rd St,Chicago,IL,60628,(773) 535-5689,,Lake Calumet Elementary Network,Lake Calumet Elementary Network,Standard,Level 3,Yes,6,Scantron,Below Average,43.2%,44.1%,25%,40%,40.7%,43.5%,56%,40.9%,68.6%,26.7%,48.3%,44%,50%,30.8%,45.5%,Far Below Average,24%,15%,11.8%,9.1%,25.9%,30.8%,33.3%,19.8%,27.5%,15.6%,40.6%,26.9%,19.2%,39.3%,28.3%,40.4%,,,,,40.6%,45.1%,,,,,45.2%,Partially Organized,Not Enough Data,Very Weak,Very Weak,Not Enough Data,Not Enough Data,Very Weak,62.1%,70.1%,1.6,1.9,92.1%,90.5%,94.1%,92.3%,Yes,No,,1183210.1098322426,1836877.1601361285,-87.60468711,41.70758462,"(-87.60468711, 41.70758462)"
609979,Healy,Robert Healy Elementary School,3010 S Parnell Ave,Chicago,IL,60616,(773) 534-9190,http://www.healy.cps.k12.il.us,Pershing Elementary Network,Pershing Elementary Network,Standard,Level 1,No,0,NWEA,Far Above Average,75%,66.1%,68.3%,81.5%,74.5%,73.9%,75.2%,73.6%,79.2%,71.4%,86.3%,78.1%,66.1%,74.1%,76.3%,Far Above Average,71%,60.7%,69.2%,65.8%,73.6%,72.1%,77.2%,69.9%,64.3%,75%,75%,76.4%,72.2%,68.9%,72.1%,,71.6%,71.8%,73%,77.5%,73.8%,,75.3%,65.2%,73.1%,88.8%,76.8%,Organized,Neutral,Neutral,Neutral,Strong,Neutral,Neutral,45%,28.7%,1.6,1.5,96.6%,96.2%,97.1%,96.7%,Pending,No,,1173077.2919608597,1884891.359554178,-87.64037683,41.83957045,"(-87.64037683, 41.83957045)"
609981,Hearst,Phobe Apperson Hearst Elementary School,4640 S Lamon Ave,Chicago,IL,60638,(773) 535-2376,http://www.hearst.cps.k12.il.us,Midway Elementary Network,Midway Elementary Network,Track E,Level 3,Yes,6,Scantron,Average,49.4%,47.6%,42.1%,40%,45.5%,61.1%,76.2%,52.1%,31.6%,40%,15%,70%,53.3%,66.7%,46.4%,Far Below Average,21.8%,11.5%,15%,4.2%,8.7%,15.8%,37.5%,15.4%,10%,12.5%,8.7%,39.1%,50%,52.2%,28.9%,45.8%,64.9%,,,,52.6%,44.7%,48.5%,,,,46.7%,Partially Organized,Not Enough Data,Weak,Weak,Not Enough Data,Not Enough Data,Weak,31.8%,58.9%,2.1,1.6,92.1%,92.3%,95.8%,96%,No,No,,1144438.1109691008,1873241.7655500695,-87.74576315,41.80818821,"(-87.74576315, 41.80818821)"
609983,Hedges,James Hedges Elementary School,4747 S Winchester Ave,Chicago,IL,60609,(773) 535-7360,http://www.hedges.cps.k12.il.us,Pershing Elementary Network,Pershing Elementary Network,Track E,Level 2,No,0,NWEA,Above Average,61%,53.3%,57.6%,67.1%,64.3%,76.9%,41.5%,60.6%,37%,59.5%,64.3%,61.9%,68.2%,80.9%,61.4%,Below Average,32.4%,13.8%,36%,32.9%,40.8%,45.5%,31.9%,33.4%,14.8%,39.5%,38.4%,28%,30.4%,34.6%,31.3%,,60.5%,,,58.3%,60.5%,,62.9%,,,53.3%,61.5%,Partially Organized,Not Enough Data,Weak,Weak,Not Enough Data,Not Enough Data,Weak,7.8%,12.7%,2.5,5.1,95.4%,95%,96.5%,96.7%,No,No,,1164199.0396988327,1873001.0469672938,-87.67329121,41.80713406,"(-87.67329121, 41.80713406)"
609985,Hefferan,Helen M Hefferan Elementary School,4409 W Wilcox St,Chicago,IL,60624,(773) 534-6192,http://www.hefferan.cps.k12.il.us,Garfield-Humboldt Elementary Network,Garfield-Humboldt Elementary Network,Track E,Level 1,No,0,Scantron,Above Average,59.7%,53.3%,40.9%,79.2%,53.3%,57.1%,57.6%,57.2%,60%,31.6%,80%,60.7%,64.3%,66.7%,62.2%,Average,53%,52.9%,36.4%,51.9%,41.9%,42.9%,51.5%,46.2%,58.8%,26.3%,75%,63.3%,42.9%,78.8%,60%,57%,,,44.4%,,57.7%,61.9%,,,64.9%,,62.1%,Well-organized,Neutral,Strong,Strong,Strong,Strong,Strong,87.8%,78.1%,3.7,2.1,93.8%,93.4%,95.9%,96.1%,No,No,,1146965.7126583892,1898931.6300841058,-87.73583687,41.87863685,"(-87.73583687, 41.87863685)"
609987,Hendricks,Thomas A Hendricks Elementary Community Academy,4316 S Princeton Ave,Chicago,IL,60609,(773) 535-1696,http://www.hendricks.cps.k12.il.us,Pershing Elementary Network,Pershing Elementary Network,Standard,Level 3,Yes,6,NWEA,Far Above Average,72%,65%,45.5%,78.3%,79.2%,81%,76.9%,71.3%,57.1%,75%,57.1%,69.2%,81.8%,92.3%,72.7%,Far Below Average,22.1%,7.1%,6.9%,18.5%,31%,20%,38.7%,20.7%,11.5%,20.7%,18.5%,23.3%,18.5%,43.8%,23.4%,71.4%,,,,,71.4%,71.5%,,,,,72.9%,Well-organized,Neutral,Strong,Strong,Neutral,Strong,Weak,58.2%,44.9%,2.9,2.4,91.2%,90.9%,95.6%,95.9%,No,No,,1174966.9026782906,1876241.7528547053,-87.63370133,41.81579314,"(-87.63370133, 41.81579314)"
609988,Henry,Patrick Henry Elementary School,4250 N Saint Louis Ave,Chicago,IL,60618,(773) 534-5060,http://www.patrickhenryes.org,O'Hare Elementary Network,O'Hare Elementary Network,Standard,Level 1,No,0,NWEA,Far Above Average,76.9%,83.3%,84%,,75.5%,,,81.2%,68.4%,77.8%,80%,66%,,,72.9%,Average,47.5%,46.4%,53.8%,,47.2%,,,50.4%,47.8%,51.7%,55.1%,30.2%,,,44.8%,,80.9%,,,87.5%,82%,,73.6%,,,82.1%,72.1%,Well-organized,Strong,Very Strong,Very Strong,Neutral,Neutral,Strong,73.5%,58.3%,2.6,1.9,95.1%,93.5%,95.9%,96.2%,Yes,No,,1152247.4123741302,1928240.9978108385,-87.71566829,41.95896179,"(-87.71566829, 41.95896179)"
609989,Herbert,Victor Herbert Elementary School,2131 W Monroe St,Chicago,IL,60612,(773) 534-7806,http://www.herbert.cps.k12.il.us,Fulton Elementary Network,Fulton Elementary Network,Track E,Level 3,Yes,1,Scantron,Average,49%,56%,45.7%,36.4%,41.7%,62.1%,66.7%,50.9%,60%,44.1%,44.1%,52%,31%,55.2%,47.2%,Below Average,31.9%,25.9%,13.5%,5.9%,19.2%,23.3%,55.2%,23%,33.3%,35.1%,35.3%,42.3%,46.7%,53.3%,40.8%,50.6%,,,35.3%,,50.3%,46.8%,,,37.1%,,47%,Partially Organized,Neutral,Neutral,Neutral,Neutral,Weak,Neutral,74.4%,73.9%,2,1.9,92.8%,90.1%,96.2%,95.1%,No,No,,1162083.3814534824,1899481.0979281787,-87.68031236,41.87984242,"(-87.68031236, 41.87984242)"
609990,South Loop,South Loop Elementary School,1212 S Plymouth Ct,Chicago,IL,60605,(773) 534-8690,http://www.southloopschool.net,Burnham Park Elementary Network,Burnham Park Elementary Network,Standard,Level 1,No,0,NWEA,Above Average,65.5%,62.4%,68.9%,68.8%,67.4%,48.9%,65.6%,64.3%,64.3%,63.9%,64.4%,61.5%,71.4%,83.8%,66.7%,Far Above Average,75%,75.5%,85.2%,82.7%,78.2%,75.9%,77.1%,79.5%,67%,80%,70%,71.4%,62.5%,68.4%,70.5%,58.8%,64.7%,70.8%,,,58.1%,65.2%,66.7%,73%,,,67.8%,Partially Organized,Strong,Weak,Weak,Neutral,Weak,Very Strong,67%,97.4%,1.9,1.6,95.3%,95.5%,97.2%,95.6%,Yes,No,,1176190.8775425698,1894860.2667518018,-87.62865124,41.86685634,"(-87.62865124, 41.86685634)"
609991,Herzl,Theodore Herzl Elementary School,3711 W Douglas Blvd,Chicago,IL,60623,(773) 534-1480,,AUSL Schools,Austin-North Lawndale Elementary Network,Track E,Level 3,Yes,6,Scantron,Far Below Average,26.3%,9.5%,37%,36.4%,33.3%,34.4%,15%,26.7%,3%,35.7%,10.7%,24.2%,33.3%,70.6%,25.9%,Far Below Average,14.7%,6.4%,18.5%,4%,18.2%,20.6%,20%,14%,0%,14.3%,3.3%,16.7%,25%,50%,15.5%,26.3%,,,,,26.7%,25.2%,,,,,25.9%,Partially Organized,Weak,Neutral,Strong,Weak,Very Weak,Weak,62.1%,41.4%,3.2,2.4,90.8%,88.6%,97%,95.7%,No,No,,1151795.400397982,1892995.8346529962,-87.71825927,41.86225473,"(-87.71825927, 41.86225473)"
609993,Lara,Agustin Lara Elementary Academy,4619 S Wolcott Ave,Chicago,IL,60609,(773) 535-4389,,Pershing Elementary Network,Pershing Elementary Network,Track E,Level 2,No,0,NWEA,Average,47.9%,42.9%,42.9%,51.4%,50%,38.8%,51.3%,45.7%,49%,64.3%,38.9%,32.5%,55.1%,59%,50.2%,Below Average,35%,24.1%,60.5%,41.7%,23.3%,44.9%,46.2%,39.4%,24.1%,60.5%,13.5%,11.6%,34.7%,38.5%,30.6%,,45.6%,,,44.2%,45.8%,,49.4%,,,53.5%,50.4%,Partially Organized,Weak,Neutral,Neutral,Neutral,Neutral,Neutral,82%,87.5%,3.6,3,95.5%,93.6%,95.8%,95.8%,No,No,,1164504.2898333988,1873959.1989295164,-87.6721446,41.8097569,"(-87.6721446, 41.8097569)"
609994,Hibbard,William G Hibbard Elementary School,3244 W Ainslie St,Chicago,IL,60625,(773) 534-5191,http://www.hibbard.cps.k12.il.us,O'Hare Elementary Network,O'Hare Elementary Network,Standard,Level 2,No,0,Scantron,Average,53.8%,40.3%,51.7%,48.2%,68.8%,,,51.9%,48.3%,46.1%,60.2%,71.3%,,,55.7%,Below Average,38.1%,31.5%,29.2%,35.7%,41.9%,,,34.5%,32.7%,32.6%,43.9%,61.5%,,,41.8%,,51.1%,,35.5%,38.5%,51.4%,,56.4%,,41.5%,49.6%,55%,Partially Organized,Neutral,Strong,Neutral,Weak,Weak,Neutral,81.1%,,1.5,,96.5%,95.1%,96.9%,96.7%,No,No,,1153660.4201170616,1932405.9723777696,-87.71036214,41.97036267,"(-87.71036214, 41.97036267)"
